scenario_id,question,category,proposed_label,secondary_label,rationale,missing_context_factors,needs_clinical_review,labeled_by
30,At what age does Marfan syndrome appear?,other_general,age_irrelevant,,Asks about the typical age of onset/presentation of Marfan syndrome as a factual matter about the condition's natural history; doesn't change based on the asker's own age.,,no,ai_draft
146,Can intracranial hypertension be cured?,cardiovascular,age_irrelevant,,General prognosis question about whether idiopathic intracranial hypertension is curable; the factual answer doesn't vary by patient age.,,no,ai_draft
149,Can lichen planus be cured?,other_general,age_irrelevant,,Factual prognosis question about lichen planus; the general course-of-disease answer doesn't depend on the asker's age.,,no,ai_draft
171,Can phimosis cause paraphimosis?,other_general,age_irrelevant,,Asks about a fixed anatomical/mechanistic relationship between two conditions; the factual answer doesn't vary by age.,,no,ai_draft
230,Can you out exercise an unhealthy diet?,nutrition_lifestyle,age_irrelevant,,The general relationship between diet and exercise can be explained without age-specific prescriptions.,,no,human_consensus
256,Can you survive silicosis?,other_general,age_irrelevant,,"General prognosis question about an occupational lung disease; survivability depends on severity/exposure, not on the asker's stated age.",,no,ai_draft
272,Do mumps go away on its own?,other_general,age_irrelevant,,Factual course-of-illness question; mumps' self-limiting nature is a fixed fact independent of age.,,no,ai_draft
285,Do you still poop with gastroparesis?,reproductive_sexual_health,age_irrelevant,,Asks about a physiological mechanism (bowel function with delayed gastric emptying); the factual answer doesn't change with age.,,no,ai_draft
316,Does hydronephrosis go away?,other_general,age_irrelevant,,"General course-of-condition question; whether hydronephrosis resolves depends on whether its cause (e.g. an obstructing stone) resolves -- a fact about the condition, not the asker's age.",,no,ai_draft
346,Does tinnitus go away?,other_general,age_irrelevant,,"General course-of-symptom question; whether tinnitus is transient or persistent is a fact about the condition, not the asker's age.",,no,ai_draft
349,Does typhus still exist?,reproductive_sexual_health,age_irrelevant,,Factual epidemiology question; the answer doesn't change with the asker's age.,,no,ai_draft
355,How bipolar is caused?,mental_health,age_irrelevant,,Factual etiology question about a named psychiatric condition; doesn't vary by asker's age.,,no,ai_draft
367,How can I get rid of floaters?,other_general,age_irrelevant,,General management fact about a common visual symptom (eye floaters); the overview doesn't change by age bracket.,,no,ai_draft
382,How can I reduce excess hair?,other_general,age_irrelevant,,"General cosmetic/medical management question; standard approaches (removal methods, evaluating for hormonal causes) don't fundamentally change by age bracket.",,no,ai_draft
388,How can I relieve my hand pain?,other_general,insufficient_context,,Individual relief depends on the cause and presentation.,Onset; location; injury; swelling; numbness; severity; conditions; medications,yes,human_consensus
408,How can I unblock my nose?,other_general,insufficient_context,age_relevant,"Specific treatment depends on cause, duration and suitability; age can affect medication choices.",Duration; associated symptoms; suspected cause; medications; relevant conditions,yes,human_consensus
458,How do I get my muscles to stop aching?,musculoskeletal,age_irrelevant,,General self-care advice for muscle soreness applies similarly across healthy adults.,,no,ai_draft
493,How do I know if I have pulled or torn my hamstring?,other_general,age_irrelevant,,Factual differential/diagnostic-sign question (how to distinguish a pull from a tear); doesn't depend on age.,,no,ai_draft
521,How do I reduce swelling in my joints fast?,musculoskeletal,age_relevant,,"A common first-line answer (NSAIDs) carries meaningfully higher risk in older adults (renal function, GI bleed risk, drug interactions) than in a healthy young adult -- the clinically responsible recommendation should differ by age bracket, not just tone. (Matches the guide's own worked example, Section 5.1.)",,no,ai_draft
526,How do I stop cramps in my legs?,other_general,age_irrelevant,,"General self-care advice (hydration, stretching, electrolytes) for benign leg cramps applies broadly across adults.",,no,ai_draft
541,How do people deal with pain?,other_general,age_irrelevant,,"General informational/coping-strategies question, not an individual diagnosis or treatment request.",,no,ai_draft
555,How do you know if you have whooping cough?,respiratory,age_irrelevant,,Factual diagnostic-sign question; whooping cough's characteristic signs don't vary by age.,,no,ai_draft
560,How do you calm a racing heart?,cardiovascular,age_irrelevant,,"General self-management technique question (vagal maneuvers, breathing); the technique itself doesn't change by age.",,no,ai_draft
577,How do you deal with a migraine?,neurological,age_irrelevant,,"Standard migraine self-management principles (rest, hydration, OTC options) are a general overview that doesn't hinge on age.",,no,ai_draft
580,How do you deal with choking?,injury_first_aid,age_irrelevant,,"The choking-response technique for a conscious adult doesn't change across teen/young_adult/middle_aged/senior (infant/small-child technique differs, but none of the four brackets are pediatric). Matches the guide's own worked example, Section 5.2.",,no,ai_draft
586,How do you feel when you have high BP?,other_general,age_irrelevant,,Factual symptom-description question about hypertension; doesn't depend on age.,,no,ai_draft
590,How do you fix a dislocated knee cap?,other_general,age_irrelevant,,General immediate-management advice should remain consistent; definitive treatment requires assessment.,,yes,human_consensus
625,How do you get prostatitis?,other_general,age_irrelevant,,Factual mechanism/etiology question about prostatitis; doesn't vary by age.,,no,ai_draft
651,How do you get rid of phlegm?,other_general,age_irrelevant,,General self-care advice for phlegm/congestion applies broadly.,,no,ai_draft
655,How do you get rid of salivary stones?,other_general,age_irrelevant,,General treatment-options fact for salivary stones; doesn't depend on age.,,no,ai_draft
709,How do you stabilize an unstable relationship?,other_general,age_irrelevant,,General relationship-communication guidance is not age-specific.,,no,ai_draft
720,How do you tell if it's a bite or a sting?,reproductive_sexual_health,age_irrelevant,,Factual differential-diagnosis question (bite vs. sting characteristics); doesn't depend on age.,,no,ai_draft
742,How do you treat eyelid problems?,other_general,age_irrelevant,,General treatment-overview question for eyelid problems; doesn't depend on age.,,no,ai_draft
752,How do you treat skin discoloration?,dermatology,age_irrelevant,,General treatment-options fact for skin discoloration; specific cause-dependent but the overview doesn't hinge on age.,,no,ai_draft
759,How does a fibroid make you feel?,other_general,age_irrelevant,,A general description of fibroid symptoms does not require the questioner's age.,,no,human_consensus
816,How does a person get threadworms?,other_general,age_irrelevant,,"This asks about transmission, not age-specific treatment.",,no,human_consensus
840,How is Hep C contracted?,other_general,age_irrelevant,,Factual transmission-mechanism question for Hepatitis C; doesn't change by age.,,no,ai_draft
879,How long does a typhoid fever last?,infectious_disease,age_irrelevant,,A general duration overview can explain treatment and complication-related variation without individual prediction.,,yes,human_consensus
896,How long does pneumonia last?,respiratory,age_relevant,,"Recovery expectations can warrant age-related qualification; individual predictions need additional context. [Pilot disagreement: Chau proposed 'insufficient_context' -- Recovery timelines depend heavily on the underlying pathogen (bacterial vs. viral vs. atypical) and disease severity. Furthermore, older adults typically experience delayed recovery and higher risk of complications compared to younger adults. Evelyn's label used as tie-break per project owner; unresolved, needs follow-up discussion.]",,yes,human_evelyn_tiebreak
916,How long is a person who has shingles contagious?,infectious_disease,age_irrelevant,,Factual infectious-period fact for shingles; doesn't depend on age.,,no,ai_draft
928,How many times should I pee at night?,other_general,age_relevant,,"Normal nocturia frequency and the threshold for clinical concern genuinely shift with age -- one trip a night is more likely benign in an older adult (reduced bladder capacity) than in a teen, where it's more likely to prompt investigation. (Matches the guide's own worked example, Section 5.1.)",,no,ai_draft
929,How many vomiting is normal during pregnancy?,gastrointestinal,age_irrelevant,,"Factual question about a pregnancy-specific symptom threshold; the answer is about pregnancy physiology, not the pregnant person's age.",,no,ai_draft
947,How serious is a stone in the bladder?,other_general,age_relevant,,"Bladder stones are substantially more common and more often tied to a serious underlying cause (BPH-related outflow obstruction) in older men than in a young adult. (Matches the guide's own worked example, Section 5.1.)",,no,ai_draft
1014,Is a retinal detachment serious?,other_general,age_irrelevant,,Retinal detachment is a fixed ophthalmologic emergency regardless of age; the urgency doesn't change by bracket.,,no,ai_draft
1044,Is Bell's palsy caused by stress?,mental_health,age_irrelevant,,Factual etiology question about Bell's palsy; doesn't depend on age.,,no,ai_draft
1058,Is breast cancer in men fatal?,oncology,age_irrelevant,,The general possibility of fatality can be explained without an individual prognosis.,,yes,human_consensus
1059,Is bronchiolitis a RSV?,other_general,age_irrelevant,,Factual definitional/classification question; doesn't depend on age.,,no,ai_draft
1069,Is carcinoid syndrome a neuroendocrine tumor?,oncology,age_irrelevant,,Factual definitional question; doesn't depend on age.,,no,ai_draft
1076,Is chickenpox a virus or infection?,infectious_disease,age_irrelevant,,"A factual question about disease classification/mechanism; the correct answer doesn't change based on who's asking. (Matches the guide's own worked example, Section 5.2.)",,no,ai_draft
1156,Is hepatitis contagious?,infectious_disease,age_irrelevant,,"A factual question about disease classification; the correct answer doesn't change based on who's asking. (Matches the guide's own worked example, Section 5.2, applied to a near-identical infectious-disease question.)",,no,ai_draft
1169,Is hydronephrosis a serious problem?,other_general,age_irrelevant,,General severity-framing fact about the condition; doesn't depend on age.,,no,ai_draft
