id,question
1,Are benign brain tumors serious?
2,Are boils and carbuncles curable?
3,Are bone cysts serious?
4,Are cold sores a herpes virus?
5,Are dental abscesses serious?
6,Are dry lips a symptom of anything?
7,Are febrile seizures harmful?
8,Are fibroids serious?
9,Are floaters in eye serious?
10,Are genital warts serious?
11,Are head and neck cancers curable?
12,Are human bites more infectious than animal bites?
13,Are lipomas serious?
14,Are mouth ulcers caused by stress?
15,Are pauses in breathing normal?
16,Are phantom smells a symptom of Covid?
17,Are phantom smells normal?
18,Are pile and hemorrhoids the same?
19,Are pressure sores and pressure ulcers the same?
20,Are roundworms serious in humans?
21,Are scars permanently?
22,Are soft tissue sarcomas always malignant?
23,Are swollen ankles serious?
24,Are there any warning signs of a brain aneurysm?
25,Are there warning signs of SIDS?
26,Are tics from anxiety?
27,Are verrucas and warts the same thing?
28,At what age does Huntington\'s disease appear?
29,At what age does macular degeneration usually begin?
30,At what age does Marfan syndrome appear?
31,At what age does motor neurone disease start?
32,At what age does penile cancer occur?
33,At what age is bedwetting a problem?
34,At what age is gender dysphoria most common?
35,At what age is hearing loss normal?
36,At what age is SIDS no longer a concern?
37,At what age should a boy\'s testicles descend?
38,At what age should cataracts be removed?
39,At what age vitiligo starts?
40,At what oxygen level do your lips turn blue?
41,At what sugar level is insulin required during pregnancy?
42,At what temperature can you get hypothermia?
43,Can a baby survive after stillbirth?
44,Can a baby survive an ectopic pregnancy?
45,Can a baby survive preeclampsia?
46,Can a bone cyst be cancerous?
47,Can a bunion go away?
48,Can a chest xray show costochondritis?
49,Can a child recover from developmental delay?
50,Can a child survive stage 4 neuroblastoma?
51,Can a child\'s UTI go away on its own?
52,Can a dislocated kneecap heal on its own?
53,Can a dislocated shoulder fix itself?
54,Can a ganglion cyst go away on its own?
55,Can a heart failure be cured?
56,Can a kidney infection go away by itself?
57,Can a lump be cancer?
58,Can a lung cancer be cured?
59,Can a nasal polyp go away on its own?
60,Can a perforated eardrum heal on its own?
61,Can a person with spastic paraplegia walk?
62,Can a person with spina bifida walk?
63,Can a persons personality be changed?
64,Can a red eye be serious?
66,Can a squint eye be corrected?
68,Can a tooth abscess go away on its own?
69,Can a tooth be saved if knocked out?
70,Can acanthosis nigricans go away?
71,Can achalasia be cured?
72,Can acute pancreatitis be cured?
73,Can adults get hand-foot-and-mouth from child?
74,Can adults get mumps?
75,Can adults get slap cheek virus?
76,Can an extra rib cause problems?
77,Can an undescended testicle fix itself?
78,Can anal cancer be cured?
79,Can aortic stenosis be cured?
80,Can appendix pain come and go for days?
81,Can ataxia be cured?
82,Can autosomal dominant polycystic kidney disease be cured?
83,Can baby have both plagiocephaly and brachycephaly?
84,Can balanitis be cured?
85,Can be asthma be cured?
86,Can benign prostate turn into cancer?
87,Can bile duct cancer be cured?
88,Can bone thinning be reversed?
89,Can bowed legs be corrected?
90,Can brucellosis be cured?
92,Can bulging eyes return to normal?
93,Can cellulitis go away on its own?
94,Can CFS be cured?
95,Can chronic kidney disease be repaired?
96,Can Club foot be corrected?
97,Can coccydynia be cured?
98,Can concussion heal itself?
99,Can contact dermatitis be spread?
100,Can Covid start with a runny nose?
101,Can damaged cartilage repair itself?
102,Can dengue be cured?
103,Can diabetes cause sweating?
104,Can Diabetes Type 2 Be Cured?
105,Can diabetic retinopathy be corrected?
106,Can difficulty swallowing go away?
107,Can discoid eczema be caused by stress?
108,Can dizziness be serious?
109,Can dry eye syndrome be fixed?
110,Can Dupuytren\'s contracture go away?
111,Can earwax cause glue ear?
112,Can ectopic beats damage your heart?
113,Can ectropion fix itself?
114,Can ejaculation disorders be cured?
115,Can empyema be cured?
116,Can encephalitis be cured?
117,Can endometriosis go away?
118,Can epidermolysis bullosa be cured?
119,Can erectile dysfunction lead to impotence?
120,Can essential tremors turn into Parkinson\'s?
121,Can eye injury heal on its own?
122,Can eyesight get reduced?
123,Can fingernails show signs of illness?
124,Can flat foot be corrected?
125,Can foot drop be corrected?
126,Can gallbladder cancer be cured?
127,Can gangrene be cured?
128,Can gastritis go away on its own?
129,Can Gilbert\'s syndrome cause skin problems?
130,Can giving birth cause psychosis?
131,Can grinding teeth be cured?
132,Can gums disease be cured?
133,Can haemophilia be cured?
134,Can hair loss grow back?
135,Can head lice live in your house?
136,Can hepatitis B be cured?
137,Can high blood pressure cause blue lips?
138,Can humans survive tetanus?
139,Can humans survive with rabies?
140,Can hydrocephalus be cured?
141,Can I drive with a macular hole?
142,Can I get toxoplasmosis from my cat?
143,Can I have hirsutism without PCOS?
144,Can incontinence be cured?
145,Can inflammatory bowel disease be cured?
146,Can intracranial hypertension be cured?
147,Can keratosis pilaris be cured?
148,Can kids get growing pains in hips?
149,Can lichen planus be cured?
150,Can lipedema go away?
151,Can lipomas go cancerous?
152,Can liver disease be cured?
153,Can Lost Libido be restored?
154,Can low blood pressure cause blue lips?
155,Can low libido be fixed?
156,Can mallet finger become permanent?
157,Can metatarsalgia be reversed?
158,Can muscle wasting be reversed?
159,Can myopia be cured?
160,Can nephrotic syndrome be cured?
161,Can night sweats be serious?
162,Can oedema be serious?
163,Can osteoporosis be cured?
164,Can otitis media be cured?
165,Can overeating Make You Sick?
166,Can pelvic organ prolapse correct itself?
167,Can penile cancer be cured?
168,Can people recover from brain stem death?
169,Can period be delayed by 10 days?
170,Can phantom smells be caused by anxiety?
171,Can phimosis cause paraphimosis?
172,Can PID be cured?
173,Can pityriasis versicolor be cured?
174,Can polycystic syndrome be cured?
175,Can prostatitis be cured?
176,Can pulmonary hypertension be cured?
177,Can Q fever be cured?
178,Can rabies be cured?
179,Can retinal detachment be cured?
180,Can rheumatic fever go undiagnosed?
181,Can schistosomiasis be cured?
182,Can sepsis be cured?
183,Can SIDS Be Stopped?
184,Can someone live a normal life with epilepsy?
185,Can stress cause a nosebleed?
186,Can stress cause personality changes?
187,Can TB kills you?
188,Can thalassemia be treated?
189,Can tics be cured?
191,Can tight foreskin cause paraphimosis?
192,Can TMD be cured?
193,Can trichotillomania be cured?
194,Can trigger finger heal on its own?
195,Can urine leakage be cured?
196,Can vitiligo be treated?
197,Can white pupil be cured?
198,Can you be cured of lupus?
199,Can you cure lipedema with weight loss?
200,Can you cut off gangrene?
201,Can you fix a bunion without surgery?
202,Can you fully recover from a subdural hematoma?
203,Can you fully recover from aphasia?
204,Can you get jet lag from a 1 hour flight?
205,Can you get measles if you are vaccinated?
206,Can you get rid of genital warts?
207,Can you get rid of halitosis?
208,Can you get rid of monkeypox?
209,Can you get your memory back from amnesia?
210,Can you have a heartbeat but no pulse?
